时刻,事件,快充1,快充2,慢充1,慢充2,慢充3,等候区
22:00,"初始攒批阶段；时间段 06:00-06:00；本时段入站车辆：V1(F,24)；站内活跃车辆 1/25；当前无批次运行，继续等待下一次满载触发",-,-,-,-,-,"(V1,F,24.00)"
,,-,-,-,-,-,
,,-,-,-,-,-,
22:05,"初始攒批阶段；时间段 06:01-06:05；本时段入站车辆：V2(T,27)、V3(F,18)、V4(T,26)、V5(F,22)、V6(T,25)；站内活跃车辆 6/25；当前无批次运行，继续等待下一次满载触发",-,-,-,-,-,"(V1,F,24.00)-(V2,T,27.00)-(V3,F,18.00)-(V4,T,26.00)-(V5,F,22.00)-(V6,T,25.00)"
,,-,-,-,-,-,
,,-,-,-,-,-,
22:10,"初始攒批阶段；时间段 06:06-06:10；本时段入站车辆：V7(F,6)、V8(T,28)、V9(F,8)、V10(T,30)、V11(F,10)；站内活跃车辆 11/25；当前无批次运行，继续等待下一次满载触发",-,-,-,-,-,"(V1,F,24.00)-(V2,T,27.00)-(V3,F,18.00)-(V4,T,26.00)-(V5,F,22.00)-(V6,T,25.00)-(V7,F,6.00)-(V8,T,28.00)-(V9,F,8.00)-(V10,T,30.00)-(V11,F,10.00)"
,,-,-,-,-,-,
,,-,-,-,-,-,
22:15,"初始攒批阶段；时间段 06:11-06:15；本时段入站车辆：V12(T,32)、V13(F,12)、V14(T,34)、V15(F,14)、V16(T,36)；站内活跃车辆 16/25；当前无批次运行，继续等待下一次满载触发",-,-,-,-,-,"(V1,F,24.00)-(V2,T,27.00)-(V3,F,18.00)-(V4,T,26.00)-(V5,F,22.00)-(V6,T,25.00)-(V7,F,6.00)-(V8,T,28.00)-(V9,F,8.00)-(V10,T,30.00)-(V11,F,10.00)-(V12,T,32.00)-(V13,F,12.00)-(V14,T,34.00)-(V15,F,14.00)-(V16,T,36.00)"
,,-,-,-,-,-,
,,-,-,-,-,-,
22:20,"初始攒批阶段；时间段 06:16-06:20；本时段入站车辆：V17(F,16)、V18(T,38)、V19(F,20)、V20(T,40)、V21(F,42)；站内活跃车辆 21/25；当前无批次运行，继续等待下一次满载触发",-,-,-,-,-,"(V1,F,24.00)-(V2,T,27.00)-(V3,F,18.00)-(V4,T,26.00)-(V5,F,22.00)-(V6,T,25.00)-(V7,F,6.00)-(V8,T,28.00)-(V9,F,8.00)-(V10,T,30.00)-(V11,F,10.00)-(V12,T,32.00)-(V13,F,12.00)-(V14,T,34.00)-(V15,F,14.00)-(V16,T,36.00)-(V17,F,16.00)-(V18,T,38.00)-(V19,F,20.00)-(V20,T,40.00)-(V21,F,42.00)"
,,-,-,-,-,-,
,,-,-,-,-,-,
22:25,"第一批运行中；时间段 06:21-06:25；本时段入站车辆：V22(T,44)、V23(F,46)、V24(T,48)、V25(F,50)；站内活跃车辆 25/25；触发第1批批量调度；本批进入充电区 15 辆；本批总完成时长 31.9667 小时","(V3,0.50,0.60)","(V19,0.50,0.60)","(V7,0.17,0.20)","(V9,0.17,0.20)","(V11,0.17,0.20)","(V12,T,32.00)-(V14,T,34.00)-(V16,T,36.00)-(V18,T,38.00)-(V20,T,40.00)-(V21,F,42.00)-(V22,T,44.00)-(V23,F,46.00)-(V24,T,48.00)-(V25,F,50.00)"
,,"(V4,0.00,0.00)","(V2,0.00,0.00)","(V13,0.00,0.00)","(V15,0.00,0.00)","(V17,0.00,0.00)",
,,"(V8,0.00,0.00)","(V10,0.00,0.00)","(V5,0.00,0.00)","(V1,0.00,0.00)","(V6,0.00,0.00)",
